id,tipo,nome,prezzo,consegna,descrizione,domande,categorie,finiture,categorie_domande,finiture_domande,domande_finali
29,arredo,Arredamento per Negozi di Abbigliamento,"","","I negozi di abbigliamento necessitano di arredi versatili per un'esposizione dinamica e facilmente aggiornabile.
link per vedere l'Arredamento per Negozi di Abbigliamento: ","[""se vuole Arredamento per Negozi di Abbigliamento chiedi:"", ""mq?"", ""paese negozio?""]","[{""titolo"": ""Strutture Flexi e Cage"", ""questions"": [], ""descrizione"": ""Combinano ripiani e appenderie regolabili per una massima flessibilità, offriamo la massima personalizzazioni di colorazioni della parte metallica e finiture per le parti in legno, possiamo aggiungere mobiletti e cassettiere se richiesti""}, {""titolo"": ""Pannello Dogato"", ""questions"": [], ""descrizione"": ""Ottimizza lo spazio a parete permettendo di esporre accessori e capi piegati.""}, {""titolo"": ""Stender su misura"", ""questions"": [], ""descrizione"": ""Perfetti la zona centrale del negozio sempre personalizzabili e con lo stesso design delle linee 'a muro'""}, {""titolo"": ""Mobili su misura"", ""questions"": [], ""descrizione"": ""Realizziamo mobili come banchi cassa, isole centrali, cubotti e vetrine su misura personalizzate in legno""}]",[],"[""se vuole Arredamento per Negozi di Abbigliamento chiedi:"", ""mq?"", ""paese negozio?""]",[],"[""nome?"", ""numero?""]"
36,arredo,Arredamento per Spogliatoi e Palestre,"","","Modul Group è specializzato nella produzione di armadietti spogliatoio per squadre sportive, palestre e centri fitness.
link per vedere l'Arredamento per Spogliatoi e Palestre:","[""se vuole Arredamento per Spogliatoi e Palestre chiedi:"", ""mq?"", ""paese negozio?""]","[{""titolo"": ""Armadietti Luxury su misura"", ""questions"": [], ""descrizione"": ""Con chiusure di sicurezza e materiali resistenti all'usura.""}, {""titolo"": ""Panche e sedute ergonomiche"", ""questions"": [], ""descrizione"": ""Per massimizzare il comfort degli atleti.""}, {""titolo"": ""Scaffalature rinforzate"", ""questions"": [], ""descrizione"": ""Per riporre attrezzature e accessori sportivi.""}, {""titolo"": ""Specchi e dettagli personalizzati"", ""questions"": [], ""descrizione"": ""Per un ambiente curato e professionale.""}]",[],"[""se vuole Arredamento per Spogliatoi e Palestre chiedi:"", ""mq?"", ""paese negozio?""]",[],"[""nome?"", ""numero?""]"
34,arredo,Arredamento per Edicole,"","","L'esposizione dei prodotti deve essere ben visibile e facilmente accessibile.
link per vedere l'Arredamento per Edicole: ","[""se vuole Arredamento per Edicole chiedi:"", ""mq?"", ""paese negozio?""]","[{""titolo"": ""Espositori gradinali"", ""questions"": [""se vuole Espositori gradinali chiedi: tipo prodotto? dimensioni?""], ""descrizione"": ""Strutture su più livelli per giornali e riviste.""}, {""titolo"": ""Scaffali a parete"", ""questions"": [""se vuole Scaffali a parete chiedi: dimensioni? portata?""], ""descrizione"": ""Con ripiani regolabili per libri e prodotti collaterali.""}, {""titolo"": ""Pannelli Dogati"", ""questions"": [""se vuole Pannelli Dogati chiedi: colore pannello? dimensioni?""], ""descrizione"": ""Ideali per esporre gadget, articoli di cancelleria e souvenir.""}]",[],"[""se vuole Arredamento per Edicole chiedi:"", ""mq?"", ""paese negozio?""]",[],"[""nome?"", ""numero?""]"
37,arredo,Arredamento per Profumerie e Farmacie,"","","L'arredo deve essere elegante e funzionale.
link per vedere l'arredo per farmacie: https://www.modulgrouparredamenti.com/arredamento-negozi/arredamento-farmacia-e-parafarmacia/
link per vedere l'arredo per profumerie: https://www.modulgrouparredamenti.com/arredamento-negozi/arredamento-profumeria/","[""se vuole Arredamento per Profumerie e Farmacie chiedi:"", ""mq?"", ""paese negozio?""]","[{""titolo"": ""Scaffali in vetro con ripiani regolabili"", ""questions"": [], ""descrizione"": ""Per una presentazione raffinata dei prodotti.""}, {""titolo"": ""Espositori illuminati"", ""questions"": [], ""descrizione"": ""Ideali per mettere in evidenza le fragranze e i cosmetici di punta.""}, {""titolo"": ""Banchi vendita con vetrina espositiva"", ""questions"": [], ""descrizione"": ""Per un'interazione diretta con il cliente.""}]",[],"[""se vuole Arredamento per Profumerie e Farmacie chiedi:"", ""mq?"", ""paese negozio?""]",[],"[""nome?"", ""numero?""]"
32,arredo,Arredamento per Negozi di Articoli Sportivi,"","","L'arredamento per negozi sportivi deve garantire flessibilità e resistenza.
link per vedere l'Arredamento per Negozi di Articoli Sportivi: ","[""se vuole Arredamento per Negozi di Articoli Sportivi chiedi:"", ""mq?"", ""paese negozio?""]","[{""titolo"": ""Strutture Cage e scaffali modulari"", ""questions"": [], ""descrizione"": ""Per l'esposizione di abbigliamento tecnico e attrezzature.""}, {""titolo"": ""Pannello Dogato"", ""questions"": [], ""descrizione"": ""Perfetto per appendere caschi, scarpe e accessori.""}, {""titolo"": ""Espositori per accessori sportivi"", ""questions"": [], ""descrizione"": ""Ripiani inclinati per palloni, guanti e protezioni.""}]",[],"[""se vuole Arredamento per Negozi di Articoli Sportivi chiedi:"", ""mq?"", ""paese negozio?""]",[],"[""nome?"", ""numero?""]"
44,complemento d'arredo,Armadietti,"","","Armadietti di sicurezza e design per spogliatoi, palestre e ambienti professionali.
link per vedere gli Armadietti: ","[""Quanti armadietti ti servono? Misure? Colore?""]",[],"[{""prezzo"": """", ""titolo"": ""Armadietti Luxury su misura"", ""questions"": [], ""descrizione"": ""Con chiusure di sicurezza e materiali resistenti all'usura.""}]",[],"[""Quanti armadietti ti servono? Misure? Colore?""]","[""nome?"", ""numero?""]"
45,complemento d'arredo,Specchi,"","","Specchi e dettagli personalizzati per ambienti eleganti e funzionali.
link per vedere gli Specchi: ","[""Che tipo di specchio ti serve? Dimensioni?""]",[],"[{""prezzo"": """", ""titolo"": ""Specchi e dettagli personalizzati"", ""questions"": [], ""descrizione"": ""Per un ambiente curato e professionale.""}]",[],"[""Che tipo di specchio ti serve? Dimensioni?""]","[""nome?"", ""numero?""]"
30,arredo,Arredamento per Negozi di Alimentari e Ortofrutta,"","","L'arredamento per i negozi di generi alimentari deve garantire resistenza e praticità, offriamo soluzione personalizzate per ogni tipo di negozio di alimentari.
link per vedere l'Arredamento per Negozi di Alimentari e Ortofrutta:","[""se vuole Arredamento per Negozi di Alimentari e Ortofrutta chiedi: mq? paese negozio?""]","[{""titolo"": ""Scaffalature metalliche con piani specifici"", ""questions"": [], ""descrizione"": ""Supportano il peso di prodotti pesanti e ingombranti.""}, {""titolo"": ""Banchi espositivi in legno o metallo"", ""questions"": [], ""descrizione"": ""Perfetti per frutta e verdura, disponibili con contenitori modulari. Banchi frigoriferi per l'esposizione dei cibi""}, {""titolo"": ""Isole promozionali"", ""questions"": [], ""descrizione"": ""Ideali per esporre prodotti in offerta o novità.""}, {""titolo"": ""Pannelli Dogati"", ""questions"": [], ""descrizione"": ""Ottimi per piccoli accessori o prodotti di rapido acquisto.""}]",[],"[""se vuole Arredamento per Negozi di Alimentari e Ortofrutta chiedi: mq? paese negozio?""]",[],"[""nome?"", ""numero?""]"
40,complemento d'arredo,Banchi,"","","Banchi vendita ed espositivi su misura per ogni esigenza di negozio, personalizzabili per materiali e funzionalità.
link per vedere i Banchi: ","[""Che tipo di banco ti interessa? Dimensioni? Materiale?""]",[],"[{""prezzo"": """", ""titolo"": ""Banchi espositivi in legno o metallo"", ""questions"": [], ""descrizione"": ""Perfetti per frutta e verdura, disponibili con contenitori modulari. Banchi frigoriferi per l'esposizione dei cibi.""}, {""prezzo"": """", ""titolo"": ""Banchi vendita con spazi espositivi"", ""questions"": [], ""descrizione"": ""Integrano cassetti e vani per una maggiore funzionalità.""}, {""prezzo"": """", ""titolo"": ""Banchi con vetrina espositiva"", ""questions"": [], ""descrizione"": ""Per valorizzare prodotti premium o da collezione.""}, {""prezzo"": """", ""titolo"": ""Banchi vendita con vetrina espositiva"", ""questions"": [], ""descrizione"": ""Per un'interazione diretta con il cliente.""}]",[],"[""Che tipo di banco ti interessa? Dimensioni? Materiale?""]","[""nome?"", ""numero?""]"
42,complemento d'arredo,Espositori,"","","Espositori modulari e su misura per ogni tipologia di prodotto, da banco o da terra.
link per vedere gli Espositori: ","[""Che tipo di espositore ti serve? Per quali prodotti?""]",[],"[{""prezzo"": """", ""titolo"": ""Espositori su misura"", ""questions"": [], ""descrizione"": ""Per valorizzare prodotti premium o da vetrina. Soluzioni personalizzate per allestimento vetrina con mobili su misura in legno.""}, {""prezzo"": """", ""titolo"": ""Espositori gradinali"", ""questions"": [], ""descrizione"": ""Strutture su più livelli per giornali e riviste o per un'esposizione chiara e ordinata di fumetti e manga.""}, {""prezzo"": """", ""titolo"": ""Espositori per accessori sportivi"", ""questions"": [], ""descrizione"": ""Ripiani inclinati per palloni, guanti e protezioni.""}]",[],"[""Che tipo di espositore ti serve? Per quali prodotti?""]","[""nome?"", ""numero?""]"
